,value,year
0,556884.08,1988
1,601985.696,1989
2,702496.56,1990
3,611795.696,1991
4,712654.016,1992
5,619033.504,1993
6,736953.92,1994
7,901089.216,1995
8,1039114.72,1996
9,1039053.28,1997
10,970185.408,1998
11,1008460.787,1999
12,1157910.014,2000
13,1032523.783,2001
14,921145.965,2002
15,1111023.778,2003
16,1651626.355,2004
17,1743576.374,2005
18,2867162.813,2006
19,3596688.225,2007
20,3390736.025,2008
21,1502124.795,2009
22,2566802.971,2010
23,3205630.602,2011
24,2915891.852,2012
25,2558652.181,2013
26,2652978.842,2014
27,1986507.847,2015
28,1696784.693,2016
